Part 2: top-5 most popular drop locations,,
DOLocationID,number_of_dropoffs,
61,6017,
138,5150,
239,4133,
244,4073,
129,4053,
Part 3: top-5 most popular pickup locations,,
PULocationID,number_of_pickups,
74,17471,
75,13427,
244,10025,
41,9733,
82,9443,
Part 4: top-5 most popular pickup-dropoff pairs,,
PULocationID,DOLocationID,count of pickup-dropoff
74,238,1370
74,263,1197
74,236,1192
74,239,992
95,121,987
"Part 5: the number of drop-offs over the period from January 1, 2019 (inclusive of January 1) to January 5, 2019 (inclusive of January 5)",,
day,total_activity,
1-Jan-19,7971,
2-Jan-19,9277,
3-Jan-19,10186,
4-Jan-19,10536,
5-Jan-19,9527,
Part 6: top-3 locations with the maximum overall activity,,
locationID,total_activity,
74,20514,
75,16582,
244,14098
